Title,Country,Period,Classification,_ - description
Moon Flask,China,18th Century,Ceramics,"blue and white; flattened globular shape supported on a spreading pedestal foot with flat unglazed base containing a central glazed hemispherical recess; narrow neck flares out to a bulbous mouth supported by a pair of strap handles terminating in ruyi heads on the high schoulders; bulb is painted with a cloud collar filled with scrolls and interspersed with three-petalled motifs; flattened sides are each finely painted with a different pictorial scene within a six-point cartouche, the edges filled with floral sprigs within compartments, and encircled by double lines; one scene comprises two women standing on a terrace outside the open door of a house or pavillion, the right edge framed by rockwork and various trees including pine; beyond a balustrade lies an expanse of water in which splashes a large carp, while fingers of land are visible on the horizon; reverse is painted with two women inside a house or pavillion set in a lush garden of trees, shrubs and a large bamboo on which is perched a phoenix; small boy, waiting on the women, stands at top of the flight of stairs; each narrow side of the vessel is further painted with a floral sprig on the raised boss, itself painted with a flower-head"
"Portrait of Ludovicus Dionisius Lalive de Bellegarde, no. 41, from a recueil of etchings",France,18th Century,Prints,"portrait of a man wearing a long, curly powdered wig and generous flowering garment, surrounded by a cartouche with name; inscription below cartouche"
The Holy Family and the Magi,England,16th - 17th Century,Textiles,Madonna and child at L in a central metallic cartouche; other figures and animals in scene; cream ground; scrolls and flowers around cartouche; fruit basket at top center
Skirt panel,Vietnam,20th Century,Textiles,unfinished - not dyed; hand woven; patterned--flowery meo; blue and yellow was on white in square and diamond design
Bowl with domestic scenes,China,17th Century,Ceramics,"underglaze blue; scenes of houses and terraces with women and boys; peacock feathers with M undulating boarder and flowers; inner rim has similar boarder and lappets with landscape, house and mountains across lake"
"Granattrichter mit Blumen (Frühling 1916) (Grenade Trench with Flowers [Spring 1916]), plate 24 from Der Krieg (The War)",Germany,20th Century,Prints,deep trench with blooming flowers around its edge; other trenches in background
"Imari shell-shaped ewer, from a two piece set",China,18th Century,Ceramics,upper body painted with iron-red and gilt Berainesque strapwork; lower section with gilt flowering vines on a deep blue ground
"Imari shell-shaped basin, from a two piece set",China,18th Century,Ceramics,interior of basin has iron-red and gilt strapwork; blue with gilding and flowers on bottom; three shell-form feet
Armorial plate,Null,18th Century,Ceramics,central coat of arms within an elaborate cartouche flanked by seahorses and pennants rising from turquoise pool; surmounted by helmet and oak tree crest amid red and white mantling; rim has alternating dolphin-edged vignettes and flowering plants between iron-red and gilt bead and reel borders
Charger for the Islamic market,China,19th Century,Ceramics,large plate on wide ring foot; white on bottom; radiating curved bars of blue and white flowers extend from flower-encircled central medallion with black Arabic text
Saucer,Null,18th Century,Ceramics,"lady seated at embroidery frame, turning toward seated man at R; second lady behind the first, arranging flowers; scalloped rim"
Sauce tureen with arms of van Reverhorst,China,18th Century,Ceramics,"on cover: arms of Van Reverhorst surrounded by coronet and winged horse crest, within eight named armorials and flower scrolls; leaf and scroll designs on underside of cover and on sauceboat; two handles and two spouts"
Charger with Dutch figures in garden setting,China,18th Century,Ceramics,"iron-red, gilt, black and green; central scene with Dutch couple and dog in a fenced garden; border of underglaze blue lappets issuing floral sprigs alternating with auspicious and antique objects; two pairs of flower boughs on exteriors"
Tea urn and cover,Japan,18th Century,Ceramics,"lighthouse shape; three bracket feet; three porcelain flowerhead bosses applied near bottom: two have metal floral centers, one has silvered metal spout; slightly domed cover with metal knob; two chains attach cover to handles"
"Ewer with arms of James Brydges, first Duke of Chandos",China,18th Century,Ceramics,"coat of arms, surmounted by head and supported by scaly beasts; head molded below spout; clusters of flowering plants painted on sides between borders of crosshatch, lappets and gilt whorls; pedestal foot; high arched handle"
Jug with arms of Philippe d'Orléans,China,18th Century,Ceramics,"spouted jug with metal hinged attached cover; blue coat of arms on one side, encircled by two necklaces; lotus flowers and fans"
Imari jar and cover,Null,Date Unknown,Ceramics,"domed cover with spire finial painted with boys chasing a lion and with mother and child; vase has fan, lobed and leaf-shaped panels of figures in gardens and on terraces, some overlapping, reserved on blue scrolling foliate ground with scattered flower heads; neck has pomegranate and acanthus in a diaper border reserved with crustaceans"
Punch bowl,China,19th Century,Ceramics,"Famille Rose cartouches with scenes including dinner party, man playing jin, entertainer with hawk and mythical beasts; interior has court figures with deities among clouds; panels of flowers and animals on borders"
Punch bowl with arms of Doone,China,18th Century,Ceramics,plain interior with gold and red decorative border; exterior decorated with two identical coats of arms surrounded by flowers and two floral sprays
"Reticulated Imari dish, from a pair",Null,18th Century,Ceramics,gilt and iron-red floral design at center surrounded by blue band of flower rondels; cutout openwork rim with interlocking circles
"Reticulated Imari dish, from a pair",Null,18th Century,Ceramics,gilt and iron-red floral design at center surrounded by blue band of flower rondels; cutout openwork rim with interlocking circles
"Baluster vase, from a five-piece garniture set",Null,Date Unknown,Ceramics,"decorated with flowers growing from peach-colored and gilt weathered rocks; crosshatch, ruyi-head and underglaze blue borders; insects and flowers around neck"
"Baluster vase, from a five-piece garniture set",Null,Date Unknown,Ceramics,"decorated with flowers growing from peach-colored and gilt weathered rocks; crosshatch, ruyi-head and underglaze blue borders; insects and flowers around neck"
"Baluster vase, from a five-piece garniture set",Null,Date Unknown,Ceramics,"decorated with flowers growing from peach-colored and gilt weathered rocks; crosshatch, ruyi-head and underglaze blue borders; insects and flowers around neck"
"Beaker vase, from a five-piece garniture set",Null,Date Unknown,Ceramics,"decorated with flowers growing from peach-colored and gilt weathered rocks; crosshatch, ruyi-head and underglaze blue borders"
"Beaker vase, from a five-piece garniture set",Null,Date Unknown,Ceramics,"decorated with flowers growing from peach-colored and gilt weathered rocks; crosshatch, ruyi-head and underglaze blue borders"
"Dish, one of a pair",China,18th Century,Ceramics,"center decorated with jardinière with peony, chrysanthemum and lily with small weathered rock; flat rim has border of scrolling acanthus with pomegranate cartouches of flower heads; orange, blue and gilt"
"Dish, one of a pair",China,18th Century,Ceramics,"center decorated with jardinière with peony, chrysanthemum and lily with small weathered rock; flat rim has border of scrolling acanthus with pomegranate cartouches of flower heads; orange, blue and gilt"
"""Arbour"" plate",China,18th Century,Ceramics,"two Asian ladies at a table under a topiary arbour; four boys watch ducks swimming in foreground; trellis work rim reserved with fruit, flowers and insects; blue and white"
Plate with Holy Family in grissaille,Null,18th Century,Ceramics,"grisaille at center, heightened with gilt; nativity scene with Holy Family, donkey and figures; strapwork and flower garland border around rim"
